,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2024-04-01,190.0,190.46,188.52,189.83,186.317099038316,2362586,0.0000,1.0,IT_Services
2024-04-02,189.14,189.8,187.6,188.88,185.384679272808,2689711,0.0000,1.0,IT_Services
2024-04-03,188.6,191.35,188.485,190.9,187.367298142625,2818910,0.0000,1.0,IT_Services
2024-04-04,192.0,193.28,187.34,187.94,184.4620744522,2924438,0.0000,1.0,IT_Services
2024-04-05,188.59,190.32,188.02,189.14,185.63986784021,2012428,0.0000,1.0,IT_Services
2024-04-08,189.24,190.24,188.9118,189.82,186.307284093416,2673611,0.0000,1.0,IT_Services
2024-04-09,190.54,191.25,186.66,189.31,185.806721903512,2790673,0.0000,1.0,IT_Services
2024-04-10,187.42,187.915,185.52,186.04,182.597234921184,3081915,0.0000,1.0,IT_Services
2024-04-11,186.04,186.795,184.58,185.9,182.459825692583,2861736,0.0000,1.0,IT_Services
2024-04-12,184.0,185.1699,181.685,182.27,178.897000693852,3547378,0.0000,1.0,IT_Services
2024-04-15,185.57,187.48,180.88,181.25,177.895876314043,3528140,0.0000,1.0,IT_Services
2024-04-16,185.59,185.71,182.86,183.75,180.349612539064,4473654,0.0000,1.0,IT_Services
2024-04-17,184.16,184.67,181.78,183.1,179.711641120559,3003033,0.0000,1.0,IT_Services
2024-04-18,182.35,183.46,180.17,181.47,178.111805101845,2886733,0.0000,1.0,IT_Services
2024-04-19,182.43,182.8,180.57,181.58,178.219769495746,3037990,0.0000,1.0,IT_Services
2024-04-22,182.45,183.315,180.45,181.9,178.533847732549,3076451,0.0000,1.0,IT_Services
2024-04-23,182.73,184.68,179.0,182.19,178.818481134651,5950229,0.0000,1.0,IT_Services
2024-04-24,183.17,184.29,181.4,184.1,180.693135610567,7616643,0.0000,1.0,IT_Services
2024-04-25,168.2,172.45,165.66,168.91,165.784234307338,16702150,0.0000,1.0,IT_Services
2024-04-26,167.5,167.87,165.73,167.13,164.037174115123,8983796,0.0000,1.0,IT_Services
2024-04-29,167.4,168.22,166.225,167.43,164.331622462126,5263342,0.0000,1.0,IT_Services
2024-04-30,166.49,166.76,165.2605,166.2,163.124384239415,6011634,0.0000,1.0,IT_Services
2024-05-01,165.69,166.27,164.3,164.43,161.3871389921,4030960,0.0000,1.0,IT_Services
2024-05-02,164.35,164.88,162.62,164.69,161.642327559502,3829853,0.0000,1.0,IT_Services
2024-05-03,165.0,166.61,164.92,165.71,162.643451939311,3400405,0.0000,1.0,IT_Services
2024-05-06,166.5,168.67,166.38,168.61,165.489785960336,4222266,0.0000,1.0,IT_Services
2024-05-07,169.0,169.29,167.94,168.38,165.264042227634,3155260,0.0000,1.0,IT_Services
2024-05-08,168.01,170.26,167.9,169.9,166.755913852447,3522011,0.0000,1.0,IT_Services
2024-05-09,167.5,167.55,165.88,166.27,164.83218465203,4266616,1.6700,1.0,IT_Services
2024-05-10,167.13,168.07,166.32,167.15,165.704574875725,2255370,0.0000,1.0,IT_Services
2024-05-13,167.5,168.06,166.76,167.56,166.111029411765,2414859,0.0000,1.0,IT_Services
2024-05-14,167.86,168.13,166.48,167.36,165.912758906379,2600967,0.0000,1.0,IT_Services
2024-05-15,167.94,168.35,167.34,168.26,166.804976180613,4468823,0.0000,1.0,IT_Services
2024-05-16,168.26,169.63,167.79,168.97,167.508836474731,3492267,0.0000,1.0,IT_Services
2024-05-17,168.97,169.11,167.33,169.03,167.568317626346,2956387,0.0000,1.0,IT_Services
2024-05-20,169.0,170.16,168.38,169.92,168.450621375311,2726261,0.0000,1.0,IT_Services
2024-05-21,169.94,174.97,169.94,173.47,171.969922845899,6459800,0.0000,1.0,IT_Services
2024-05-22,173.39,174.99,172.76,173.69,172.188020401823,3294900,0.0000,1.0,IT_Services
2024-05-23,175.39,175.46,170.435,170.67,169.194135770505,3341335,0.0000,1.0,IT_Services
2024-05-24,171.48,172.01,170.21,170.89,169.412233326429,2587829,0.0000,1.0,IT_Services
2024-05-28,170.44,171.085,168.65,169.66,168.19286971831,2629645,0.0000,1.0,IT_Services
2024-05-29,168.0,168.63,166.21,167.05,165.605439623032,4206576,0.0000,1.0,IT_Services
2024-05-30,165.56,166.73,164.23,165.63,164.197719034797,3852963,0.0000,1.0,IT_Services
2024-05-31,165.7,166.97,163.84,166.85,165.407169117647,4905002,0.0000,1.0,IT_Services
2024-06-03,166.54,166.78,163.53,165.28,163.850745650373,2776058,0.0000,1.0,IT_Services
2024-06-04,164.6,166.4,163.88,165.81,164.376162489644,2594203,0.0000,1.0,IT_Services
2024-06-05,166.41,167.79,165.78,167.38,165.932585956918,3049377,0.0000,1.0,IT_Services
2024-06-06,167.38,168.44,166.8,168.2,166.745495028998,2207263,0.0000,1.0,IT_Services
2024-06-07,168.18,171.305,168.06,170.01,168.539843102734,3475495,0.0000,1.0,IT_Services
2024-06-10,169.55,170.76,168.88,170.38,168.906643537697,3444684,0.0000,1.0,IT_Services
2024-06-11,169.98,170.0,166.81,169.32,167.855809859155,2951251,0.0000,1.0,IT_Services
2024-06-12,171.35,172.47,168.101,169.0,167.538577050539,3522698,0.0000,1.0,IT_Services
2024-06-13,169.01,169.59,168.335,169.12,167.65753935377,3525717,0.0000,1.0,IT_Services
2024-06-14,168.29,169.47,167.23,169.21,167.746761081193,2777717,0.0000,1.0,IT_Services
2024-06-17,168.76,169.72,167.5,169.5,168.034253314002,3239815,0.0000,1.0,IT_Services
2024-06-18,170.0,170.75,168.38,170.55,169.075173467274,3386442,0.0000,1.0,IT_Services
2024-06-20,174.08,174.28,171.22,173.92,172.416031483016,4723078,0.0000,1.0,IT_Services
2024-06-21,173.97,174.96,171.4,172.46,170.968656793703,10182025,0.0000,1.0,IT_Services
2024-06-24,175.0,178.4599,174.15,175.01,173.496605737365,4864735,0.0000,1.0,IT_Services
2024-06-25,175.14,175.7526,171.42,172.6,171.107446147473,4119267,0.0000,1.0,IT_Services
2024-06-26,171.28,172.68,170.41,171.87,170.383758802817,2779016,0.0000,1.0,IT_Services
2024-06-27,171.12,172.5,170.48,170.85,169.372579225352,2894001,0.0000,1.0,IT_Services
2024-06-28,170.85,173.46,170.53,172.95,171.454419531897,4193459,0.0000,1.0,IT_Services
2024-07-01,173.45,176.46,173.38,175.1,173.585827464789,3320961,0.0000,1.0,IT_Services
2024-07-02,174.84,177.485,174.32,177.3,175.766803024027,2883275,0.0000,1.0,IT_Services
2024-07-03,177.88,177.98,175.17,175.73,174.210379556752,1649049,0.0000,1.0,IT_Services
2024-07-05,175.74,176.09,173.95,176.02,174.497871789561,2085970,0.0000,1.0,IT_Services
2024-07-08,176.41,178.59,176.01,177.64,176.103862883181,2503038,0.0000,1.0,IT_Services
2024-07-09,177.6,177.7,175.58,176.48,174.953893951947,2513305,0.0000,1.0,IT_Services
2024-07-10,176.6,178.22,174.45,177.84,176.302133388567,3462182,0.0000,1.0,IT_Services
2024-07-11,177.65,179.44,176.62,178.31,176.768069076222,2807145,0.0000,1.0,IT_Services
2024-07-12,178.56,184.16,178.5,182.83,181.248982497929,4785565,0.0000,1.0,IT_Services
2024-07-15,183.38,184.9,182.6,182.88,181.298550124275,2925794,0.0000,1.0,IT_Services
2024-07-16,184.67,186.6,184.52,185.81,184.203213028169,3374526,0.0000,1.0,IT_Services
2024-07-17,185.44,187.94,185.07,187.45,185.829031172328,4225302,0.0000,1.0,IT_Services
2024-07-18,186.64,189.47,185.1,185.22,183.618315037283,3487808,0.0000,1.0,IT_Services
2024-07-19,186.33,187.0,181.95,183.25,181.665350559238,3816039,0.0000,1.0,IT_Services
2024-07-22,183.4,184.97,182.86,184.15,182.557567833471,2488525,0.0000,1.0,IT_Services
2024-07-23,184.36,185.38,183.01,184.1,182.508000207125,2180225,0.0000,1.0,IT_Services
2024-07-24,184.14,185.0714,183.145,184.02,182.428692004971,6962071,0.0000,1.0,IT_Services
2024-07-25,186.8,196.26,185.3,191.98,190.319858119304,9532802,0.0000,1.0,IT_Services
2024-07-26,190.51,193.57,189.622,191.75,190.091847038111,4294875,0.0000,1.0,IT_Services
2024-07-29,193.18,193.29,189.18,191.5,189.844008906379,3336806,0.0000,1.0,IT_Services
2024-07-30,191.48,192.77,189.09,191.04,189.387986743993,3064978,0.0000,1.0,IT_Services
2024-07-31,191.0,194.5499,189.99,192.14,190.478474523612,5558405,0.0000,1.0,IT_Services
2024-08-01,192.81,193.635,188.29,189.66,188.019920256835,4085354,0.0000,1.0,IT_Services
2024-08-02,188.78,189.26,185.7,189.12,187.484589892295,4548824,0.0000,1.0,IT_Services
2024-08-05,184.55,185.255,181.81,183.31,181.724831710853,4975002,0.0000,1.0,IT_Services
2024-08-06,184.7,188.9,183.64,186.8,185.184652029826,3632517,0.0000,1.0,IT_Services
2024-08-07,188.08,189.87,186.7,186.8,185.184652029826,3801942,0.0000,1.0,IT_Services
2024-08-08,187.5,192.88,187.0,192.61,190.944410211268,3712698,0.0000,1.0,IT_Services
2024-08-09,191.18,192.63,189.04,191.45,191.45,2773706,1.6700,1.0,IT_Services
2024-08-12,191.25,191.5761,189.0001,189.48,189.48,2290421,0.0000,1.0,IT_Services
2024-08-13,190.29,191.31,189.21,190.99,190.99,2178862,0.0000,1.0,IT_Services
2024-08-14,191.15,193.09,190.73,192.32,192.32,1895114,0.0000,1.0,IT_Services
2024-08-15,193.51,194.25,193.28,193.95,193.95,2471985,0.0000,1.0,IT_Services
2024-08-16,193.58,194.35,192.86,193.78,193.78,2494472,0.0000,1.0,IT_Services
2024-08-19,193.84,195.525,193.715,194.73,194.73,2361378,0.0000,1.0,IT_Services
2024-08-20,194.59,196.21,193.75,196.03,196.03,1790371,0.0000,1.0,IT_Services
2024-08-21,195.97,197.33,194.115,197.21,197.21,2579343,0.0000,1.0,IT_Services
2024-08-22,197.25,197.92,195.57,195.96,195.96,1969496,0.0000,1.0,IT_Services
2024-08-23,196.79,197.38,194.39,196.1,196.1,2321961,0.0000,1.0,IT_Services
2024-08-26,196.0,198.345,195.9,197.98,197.98,2567217,0.0000,1.0,IT_Services
2024-08-27,197.44,199.4,196.97,198.73,198.73,2617229,0.0000,1.0,IT_Services
2024-08-28,199.0,200.0,197.49,198.46,198.46,2645244,0.0000,1.0,IT_Services
